sku,name,category,price,stock
SKU-1125,Mini Monitor,Cameras,109.92,12
SKU-1126,Mini Webcam,Displays,157.07,50
SKU-1127,Pro Webcam,Accessories,61.07,7
SKU-1128,Mini Hub,Storage,115.83,6
SKU-1129,Plus Router,Displays,216.93,10
SKU-1130,Ultra Headset,Home,191.88,2
SKU-1131,Ultra Lamp,Home,84.41,17
SKU-1132,Air Speaker,Accessories,285.72,33
SKU-1133,Ultra Mouse,Home,291.64,7
SKU-1134,Max Mouse,Gaming,255.27,4
SKU-1135,Lite HDD,Home,73.82,6
SKU-1136,Smart Keyboard,Gaming,28.03,4
SKU-1137,Plus Charger,Networking,184.72,22
SKU-1138,Ultra HDD,Gaming,211.18,10
SKU-1139,Air Mouse,Accessories,47.63,12
SKU-1140,Pro Monitor,Audio,191.81,29
SKU-1141,Smart Router,Home,293.31,11
SKU-1142,Mini SSD,Accessories,83.72,43
SKU-1143,Pro HDD,Home,278.97,45
SKU-1144,Ultra Speaker,Gaming,45.59,18
SKU-1145,Air Webcam,Gaming,236.37,27
SKU-1146,Max Lamp,Audio,112.49,50
SKU-1147,Max Monitor,Displays,199.03,36
SKU-1148,Ultra Speaker,Cameras,146.04,24
SKU-1149,Smart Mouse,Cameras,5.58,22
SKU-1150,Max Monitor,Networking,91.47,22
SKU-1151,Lite Laptop,Cameras,191.62,37
SKU-1152,Lite Charger,Cameras,133.20,43
SKU-1153,Max HDD,Home,93.02,46
SKU-1154,Smart Tablet,Storage,265.84,1
SKU-1155,Max Speaker,Home,147.81,9
SKU-1156,Pro Webcam,Networking,58.27,23
SKU-1157,Lite SSD,Storage,292.61,45
SKU-1158,Max Keyboard,Cameras,211.17,34
SKU-1159,Lite Mouse,Networking,100.56,46
SKU-1160,Max Hub,Home,67.44,48
SKU-1161,Air Lamp,Accessories,132.48,6
SKU-1162,Max Speaker,Displays,272.40,7
SKU-1163,Plus Charger,Audio,157.48,15
SKU-1164,Air Headset,Gaming,122.82,49
SKU-1165,Lite Laptop,Networking,140.22,12
SKU-1166,Plus Hub,Networking,141.36,31
SKU-1167,Ultra Mouse,Home,269.94,24
SKU-1168,Smart SSD,Cameras,30.44,15
SKU-1169,Pro Monitor,Home,42.33,5
SKU-1170,Max Laptop,Gaming,236.65,32
SKU-1171,Max Webcam,Gaming,74.07,23
SKU-1172,Plus Headset,Home,99.52,1
SKU-1173,Ultra Laptop,Audio,238.19,22
SKU-1174,Air Keyboard,Home,57.09,13
SKU-1175,Max Charger,Audio,128.44,1
SKU-1176,Ultra Webcam,Networking,147.59,34
SKU-1177,Mini Charger,Audio,181.92,31
SKU-1178,Plus Lamp,Audio,221.64,13
SKU-1179,Air Webcam,Cameras,94.32,12
SKU-1180,Mini Webcam,Displays,207.02,26
SKU-1181,Air Charger,Accessories,33.85,5
SKU-1182,Ultra Headset,Storage,153.11,19
SKU-1183,Air Charger,Home,63.05,33
SKU-1184,Plus Headset,Audio,120.29,50
SKU-1185,Air Hub,Networking,250.34,17
SKU-1186,Ultra Tablet,Storage,15.68,30
SKU-1187,Plus Monitor,Cameras,275.10,5
SKU-1188,Lite Laptop,Displays,243.84,14
SKU-1189,Max Monitor,Home,148.11,22
SKU-1190,Mini SSD,Accessories,152.30,11
SKU-1191,Plus Router,Storage,247.96,46
SKU-1192,Pro Lamp,Gaming,178.91,30
SKU-1193,Air Router,Cameras,255.40,45
SKU-1194,Air Tablet,Gaming,232.82,30
SKU-1195,Air Tablet,Gaming,184.31,28
SKU-1196,Mini Speaker,Gaming,116.57,21
SKU-1197,Air Monitor,Gaming,288.55,39
SKU-1198,Plus Mouse,Gaming,280.72,47
SKU-1199,Mini Charger,Displays,158.37,28
SKU-1200,Mini Webcam,Storage,229.49,4
SKU-1201,Smart Hub,Networking,298.06,44
SKU-1202,Lite Webcam,Displays,237.74,9
SKU-1203,Lite Tablet,Gaming,166.98,3
SKU-1204,Smart Keyboard,Storage,13.21,37
SKU-1205,Pro Headset,Gaming,273.35,31
SKU-1206,Pro Hub,Accessories,269.79,39
SKU-1207,Mini SSD,Audio,132.08,13
SKU-1208,Ultra Laptop,Gaming,41.67,28
SKU-1209,Plus Mouse,Storage,185.06,3
SKU-1210,Lite HDD,Audio,259.82,28
SKU-1211,Mini Keyboard,Gaming,169.24,33
SKU-1212,Ultra Speaker,Storage,8.50,24
SKU-1213,Mini Lamp,Gaming,53.02,34
SKU-1214,Smart Mouse,Networking,99.41,28
SKU-1215,Lite Mouse,Displays,221.10,36
SKU-1216,Max Charger,Accessories,154.07,4
SKU-1217,Plus Monitor,Displays,251.43,23
SKU-1218,Air Lamp,Cameras,89.73,36
SKU-1219,Smart Monitor,Home,101.41,25
SKU-1220,Plus Router,Displays,141.80,42
SKU-1221,Ultra Mouse,Audio,296.38,9
SKU-1222,Ultra Monitor,Cameras,74.77,31
SKU-1223,Max Lamp,Home,203.84,45
SKU-1224,Smart Laptop,Cameras,297.00,26
SKU-1225,Plus Keyboard,Accessories,128.40,26
SKU-1226,Pro Webcam,Displays,100.68,24
SKU-1227,Mini SSD,Gaming,190.47,1
SKU-1228,Mini Mouse,Networking,16.84,42
SKU-1229,Max Keyboard,Home,165.09,48
SKU-1230,Air Tablet,Displays,263.50,46
SKU-1231,Ultra Charger,Displays,277.50,39
SKU-1232,Lite Webcam,Storage,171.25,1
SKU-1233,Ultra Keyboard,Cameras,230.67,21
SKU-1234,Smart Speaker,Networking,85.23,50
SKU-1235,Pro Hub,Audio,140.60,35
SKU-1236,Ultra Hub,Cameras,291.41,48
SKU-1237,Pro Keyboard,Audio,185.72,6
SKU-1238,Max SSD,Networking,278.28,6
SKU-1239,Lite Hub,Cameras,253.72,28
SKU-1240,Smart Lamp,Accessories,120.39,41
SKU-1241,Smart Monitor,Audio,191.21,44
SKU-1242,Plus Tablet,Cameras,27.22,14
SKU-1243,Lite Speaker,Audio,124.48,19
SKU-1244,Plus Hub,Displays,238.79,29
SKU-1245,Smart Router,Gaming,206.36,16
SKU-1246,Air HDD,Storage,168.94,49
SKU-1247,Lite Keyboard,Storage,169.56,11
SKU-1248,Pro Laptop,Displays,192.73,15
SKU-1249,Air HDD,Displays,49.96,18
SKU-1250,Ultra Speaker,Gaming,217.24,27
SKU-1251,Lite Tablet,Displays,211.66,9
SKU-1252,Lite Lamp,Networking,91.48,7
SKU-1253,Max Charger,Networking,198.87,34
SKU-1254,Mini Laptop,Cameras,16.89,34
SKU-1255,Ultra Speaker,Accessories,284.54,43
SKU-1256,Air HDD,Cameras,292.93,25
SKU-1257,Pro Charger,Home,47.10,26
SKU-1258,Air Headset,Networking,258.82,43
SKU-1259,Mini Hub,Cameras,224.12,34
SKU-1260,Plus Keyboard,Audio,136.64,49
SKU-1261,Max Webcam,Gaming,236.62,16
SKU-1262,Mini Charger,Storage,28.25,9
SKU-1263,Air Router,Storage,278.20,10
SKU-1264,Air Headset,Displays,66.91,31
SKU-1265,Ultra Speaker,Home,254.90,11
SKU-1266,Ultra Laptop,Gaming,126.16,30
SKU-1267,Air Keyboard,Networking,17.79,36
SKU-1268,Mini Tablet,Home,111.08,11
SKU-1269,Lite Mouse,Cameras,181.18,16
SKU-1270,Lite Lamp,Audio,46.03,13
SKU-1271,Max Speaker,Home,191.31,32
SKU-1272,Smart Keyboard,Displays,187.58,30
SKU-1273,Ultra Monitor,Displays,176.04,3
SKU-1274,Max Lamp,Displays,17.96,39
SKU-1275,Smart Laptop,Storage,262.84,45
SKU-1276,Lite Tablet,Home,157.95,28
SKU-1277,Mini Laptop,Accessories,275.27,32
SKU-1278,Air Webcam,Accessories,130.33,42
SKU-1279,Smart Keyboard,Cameras,122.88,37
SKU-1280,Smart Laptop,Storage,292.45,5
SKU-1281,Lite Router,Displays,280.26,17
SKU-1282,Pro Keyboard,Cameras,250.93,37
SKU-1283,Air SSD,Home,33.77,16
SKU-1284,Plus Tablet,Gaming,255.38,36
SKU-1285,Ultra Mouse,Storage,78.08,6
SKU-1286,Lite Monitor,Cameras,94.30,41
SKU-1287,Plus Speaker,Displays,193.54,43
SKU-1288,Ultra Headset,Cameras,108.19,46
SKU-1289,Smart Charger,Displays,149.43,27
SKU-1290,Air Lamp,Home,149.88,20
SKU-1291,Ultra Hub,Audio,279.68,15
SKU-1292,Mini Webcam,Networking,116.53,24
SKU-1293,Ultra Laptop,Networking,37.55,37
SKU-1294,Plus Mouse,Audio,87.44,32
SKU-1295,Pro HDD,Home,294.83,27
SKU-1296,Mini Lamp,Displays,45.75,29
SKU-1297,Plus Hub,Gaming,70.54,25
SKU-1298,Ultra Headset,Networking,275.45,39
SKU-1299,Max Monitor,Home,193.41,13
SKU-1300,Mini Lamp,Home,159.20,49
SKU-1301,Ultra HDD,Storage,38.38,28
SKU-1302,Air Hub,Displays,261.38,42
SKU-1303,Pro Lamp,Home,102.60,30
SKU-1304,Max SSD,Audio,278.54,41
SKU-1305,Lite Keyboard,Storage,9.25,25
SKU-1306,Max Laptop,Home,14.00,3
SKU-1307,Max Router,Networking,122.22,37
SKU-1308,Plus HDD,Networking,86.59,50
SKU-1309,Lite Hub,Storage,252.87,22
SKU-1310,Mini Charger,Home,282.21,40
SKU-1311,Mini Router,Home,201.55,23
SKU-1312,Plus Headset,Cameras,44.79,14
SKU-1313,Lite Router,Cameras,295.80,48
SKU-1314,Lite Laptop,Cameras,33.05,8
SKU-1315,Ultra Headset,Audio,251.30,8
SKU-1316,Plus Laptop,Audio,250.03,28
SKU-1317,Mini Speaker,Accessories,255.77,43
SKU-1318,Smart SSD,Audio,117.11,31
SKU-1319,Pro Monitor,Storage,226.50,23
SKU-1320,Ultra Hub,Home,169.11,30
SKU-1321,Plus Lamp,Accessories,168.70,36
SKU-1322,Pro Router,Audio,299.50,18
SKU-1323,Max Lamp,Home,295.25,32
SKU-1324,Smart Mouse,Audio,122.78,24
SKU-1325,Ultra Webcam,Cameras,107.80,1
SKU-1326,Smart Tablet,Accessories,56.79,49
SKU-1327,Smart Headset,Audio,30.03,43
SKU-1328,Lite Laptop,Storage,71.87,18
SKU-1329,Lite Mouse,Storage,130.26,40
SKU-1330,Air Hub,Networking,66.36,38
SKU-1331,Lite Monitor,Displays,196.39,37
SKU-1332,Max SSD,Storage,88.09,13
SKU-1333,Air Laptop,Home,106.45,28
SKU-1334,Lite Tablet,Audio,73.98,2
SKU-1335,Plus Speaker,Displays,224.62,35
SKU-1336,Lite Router,Audio,78.93,5
SKU-1337,Smart Charger,Cameras,276.96,4
SKU-1338,Plus Hub,Accessories,112.68,48
SKU-1339,Pro Laptop,Cameras,132.45,31
SKU-1340,Max HDD,Gaming,133.36,32
SKU-1341,Plus Router,Audio,106.31,1
SKU-1342,Max Webcam,Audio,166.93,49
SKU-1343,Max Mouse,Accessories,291.22,48
SKU-1344,Air Laptop,Displays,152.77,6
SKU-1345,Air Hub,Storage,116.29,47
SKU-1346,Lite Laptop,Accessories,220.15,39
SKU-1347,Pro HDD,Audio,274.99,11
SKU-1348,Max Tablet,Networking,30.83,32
SKU-1349,Smart Monitor,Gaming,270.01,31
SKU-1350,Plus HDD,Displays,165.82,50
SKU-1351,Plus Charger,Home,190.07,2
SKU-1352,Mini Lamp,Networking,105.13,20
SKU-1353,Pro Router,Displays,145.44,34
SKU-1354,Max Laptop,Storage,283.35,35
SKU-1355,Lite HDD,Gaming,223.74,41
SKU-1356,Air Tablet,Home,54.25,4
SKU-1357,Smart Headset,Cameras,169.54,39
SKU-1358,Max Headset,Audio,208.36,18
SKU-1359,Smart Webcam,Gaming,273.19,19
SKU-1360,Mini Laptop,Cameras,229.72,43
SKU-1361,Smart HDD,Accessories,231.08,30
SKU-1362,Lite Tablet,Networking,249.61,40
SKU-1363,Lite Headset,Cameras,180.57,34
SKU-1364,Smart SSD,Storage,174.53,21
SKU-1365,Max Tablet,Displays,16.36,47
SKU-1366,Ultra Keyboard,Storage,215.04,44
SKU-1367,Lite Headset,Displays,271.81,31
SKU-1368,Pro Laptop,Displays,187.51,45
SKU-1369,Ultra Laptop,Networking,228.05,19
SKU-1370,Lite Lamp,Storage,58.13,7
SKU-1371,Lite Webcam,Networking,100.75,8
SKU-1372,Plus SSD,Storage,176.24,16
SKU-1373,Mini Headset,Storage,202.87,24
SKU-1374,Plus Webcam,Cameras,12.97,23
SKU-1375,Air Hub,Home,270.58,50
SKU-1376,Mini Speaker,Audio,245.80,35
SKU-1377,Smart Charger,Audio,88.67,20
SKU-1378,Max Webcam,Displays,231.62,37
SKU-1379,Lite HDD,Storage,212.94,30
SKU-1380,Air Tablet,Audio,260.39,7
SKU-1381,Plus Mouse,Audio,130.95,19
SKU-1382,Max Hub,Cameras,60.91,11
SKU-1383,Max Headset,Accessories,164.47,30
SKU-1384,Ultra SSD,Home,195.90,2
SKU-1385,Max Router,Home,33.07,29
SKU-1386,Mini Tablet,Cameras,12.79,25
SKU-1387,Plus Monitor,Gaming,177.80,8
SKU-1388,Smart Speaker,Storage,298.05,3
SKU-1389,Air Keyboard,Home,32.60,9
SKU-1390,Mini Headset,Displays,147.35,34
SKU-1391,Lite Mouse,Home,67.70,31
SKU-1392,Plus Router,Accessories,198.28,28
SKU-1393,Pro Charger,Networking,244.74,50
SKU-1394,Air Laptop,Gaming,41.35,31
SKU-1395,Plus Headset,Displays,129.29,22
SKU-1396,Pro Router,Storage,102.58,26
SKU-1397,Ultra Monitor,Accessories,121.05,48
SKU-1398,Smart HDD,Networking,291.42,16
SKU-1399,Plus Webcam,Cameras,87.98,39
SKU-1400,Lite Webcam,Accessories,207.51,27
SKU-1401,Smart Tablet,Storage,219.06,11
SKU-1402,Pro HDD,Audio,121.35,1
SKU-1403,Air Hub,Displays,131.10,29
SKU-1404,Ultra Speaker,Home,212.57,35
SKU-1405,Max Lamp,Home,39.78,14
SKU-1406,Pro Lamp,Gaming,186.14,48
SKU-1407,Max Tablet,Storage,17.97,47
SKU-1408,Mini Charger,Audio,13.23,27
SKU-1409,Plus Router,Home,31.72,17
SKU-1410,Ultra Speaker,Storage,107.00,29
SKU-1411,Air Monitor,Accessories,259.59,33
SKU-1412,Mini SSD,Networking,95.84,27
SKU-1413,Smart Webcam,Displays,175.32,47
SKU-1414,Ultra Headset,Gaming,86.26,39
SKU-1415,Lite SSD,Audio,159.80,45
SKU-1416,Smart Lamp,Storage,237.05,42
SKU-1417,Pro Tablet,Storage,262.23,16
SKU-1418,Air SSD,Cameras,209.40,32
SKU-1419,Smart HDD,Audio,58.46,40
SKU-1420,Lite Router,Gaming,198.94,16
SKU-1421,Plus Lamp,Audio,278.75,25
SKU-1422,Pro Lamp,Displays,217.68,34
SKU-1423,Ultra Headset,Displays,146.97,23
SKU-1424,Max Tablet,Home,274.13,26
SKU-1425,Pro Webcam,Cameras,36.70,11
SKU-1426,Max Hub,Home,49.78,42
SKU-1427,Plus Lamp,Networking,18.79,34
SKU-1428,Plus Monitor,Gaming,180.13,33
SKU-1429,Air Headset,Displays,59.36,36
SKU-1430,Plus Charger,Audio,283.31,7
SKU-1431,Pro SSD,Displays,77.02,50
SKU-1432,Air Webcam,Home,156.86,8
SKU-1433,Pro Charger,Cameras,102.98,30
SKU-1434,Smart Router,Cameras,284.05,6
SKU-1435,Lite Webcam,Storage,142.20,40
SKU-1436,Lite SSD,Storage,192.81,46
SKU-1437,Lite Monitor,Gaming,292.80,7
SKU-1438,Ultra Tablet,Networking,124.55,34
SKU-1439,Max Laptop,Storage,81.79,48
SKU-1440,Smart Laptop,Cameras,116.78,29
SKU-1441,Mini Keyboard,Audio,224.56,32
SKU-1442,Plus Laptop,Storage,77.00,50
SKU-1443,Max HDD,Audio,158.45,38
SKU-1444,Air Monitor,Home,64.72,19
SKU-1445,Mini Tablet,Displays,109.69,37
SKU-1446,Lite SSD,Storage,16.25,31
SKU-1447,Pro Webcam,Networking,141.08,26
SKU-1448,Lite Tablet,Storage,249.77,3
SKU-1449,Plus Speaker,Audio,18.87,18
SKU-1450,Air Headset,Storage,298.19,32
SKU-1451,Mini Tablet,Cameras,142.55,8
SKU-1452,Smart Tablet,Displays,142.47,1
SKU-1453,Air Mouse,Cameras,69.57,15
SKU-1454,Ultra Monitor,Gaming,31.34,31
SKU-1455,Pro Tablet,Displays,249.14,9
SKU-1456,Mini Keyboard,Networking,108.15,14
SKU-1457,Max Speaker,Cameras,48.99,35
SKU-1458,Air Laptop,Storage,260.55,34
SKU-1459,Ultra SSD,Home,55.21,40
SKU-1460,Mini Mouse,Storage,269.32,30
SKU-1461,Mini Charger,Networking,48.62,15
SKU-1462,Ultra Webcam,Cameras,50.74,34
SKU-1463,Mini Hub,Displays,232.31,15
SKU-1464,Pro Tablet,Networking,182.08,15
SKU-1465,Max Keyboard,Audio,51.71,49
SKU-1466,Mini Speaker,Accessories,86.29,27
SKU-1467,Plus Tablet,Home,49.29,30
SKU-1468,Mini Headset,Storage,223.09,27
SKU-1469,Air Lamp,Audio,218.54,12
SKU-1470,Air Laptop,Cameras,297.31,34
SKU-1471,Pro Charger,Networking,64.60,43
SKU-1472,Max Tablet,Accessories,226.60,15
SKU-1473,Smart HDD,Gaming,108.73,42
SKU-1474,Smart Router,Gaming,208.31,31
SKU-1475,Pro Tablet,Storage,213.56,19
SKU-1476,Air Webcam,Home,294.74,48
SKU-1477,Max Laptop,Displays,192.53,18
SKU-1478,Mini Hub,Cameras,281.66,37
SKU-1479,Air Mouse,Gaming,127.10,26
SKU-1480,Ultra Tablet,Home,84.11,15
SKU-1481,Plus Mouse,Networking,21.15,17
SKU-1482,Mini Lamp,Cameras,209.57,41
SKU-1483,Smart Laptop,Displays,268.86,6
SKU-1484,Mini Headset,Cameras,171.90,7
SKU-1485,Pro Keyboard,Audio,43.23,15
SKU-1486,Plus Keyboard,Displays,21.39,10
SKU-1487,Max Laptop,Gaming,45.65,33
SKU-1488,Ultra Laptop,Displays,171.00,14
SKU-1489,Plus Headset,Storage,186.68,45
SKU-1490,Ultra Router,Accessories,161.01,42
SKU-1491,Air Webcam,Gaming,100.53,27
SKU-1492,Ultra Mouse,Home,265.54,36
SKU-1493,Lite SSD,Home,186.10,18
SKU-1494,Plus Lamp,Displays,93.92,48
SKU-1495,Lite Charger,Displays,124.92,11
SKU-1496,Plus Laptop,Networking,50.98,3
SKU-1497,Plus Tablet,Gaming,272.32,37
SKU-1498,Pro Speaker,Accessories,22.77,37
SKU-1499,Plus Charger,Home,19.68,14
